id,source,original_text,original_word_count,summary,summary_word_count
1,Web Scrape,"Jack E. Singley Academy (formerly The Academy of Irving ISD) is a career-oriented public high school in Irving, Texas, United States. The school is a part of the Irving Independent School District. The Academy grants admission to students through a non-merit based selection process, which requires applying to the school during the spring semester of their 8th grade year. Students who are not selected may reapply their 9th and 10th grade years. In 2009, 2010 and 2011 the school was rated ""recognized"" by the Texas Education Agency. (as of 2017) The school differs from other high schools in that it is an academy-based school offering six 'Schools of Specialty': Engineering (Manufacturing & Robotics), Information Technology, Culinary Arts and Hospitality Studies, Legal Studies, Health Science, and Arts and Communication. These career studies advance as the student progresses and branches out into more specific careers in that program.",146,the school is a part of the Irving Independent School District. the school grants admission to students through a non-merit based selection process. students who are not selected may reapply their 9th and 10th grade years.,36
2,Web Scrape,"The Academy is a comprehensive high school that opened its doors during the 2001–02 school year. The school accommodates 1700 students in grades nine to twelve. Approved by Irving ISD voters as part of a school bond package in October 1997, The Academy of Irving ISD was constructed on the southeast corner of the North Lake College campus along MacArthur Boulevard in Las Colinas. The school was designed as a feeder school for students from the District's three existing high schools who would specialize in one of six specializations: Advanced & Applied Technology Studies; Education & Early Childhood Studies; Entrepreneurship & Tourism Studies; Legal Studies; Medical & Dental Studies; and Visual Arts & Communication Studies. The Academy was built to function more as a business office environment rather than a traditional high school, intending to immerse students in a professional workplace setting. Differing features include the absence of lockers.",149,the academy of Irving ISD was built in 1997. it accommodates 1700 students in grades nine to twelve.,18
3,Web Scrape,"In 2004, The Academy of Irving ISD became a stand-alone campus without dependency on the other high schools. The students and staff chose its school colors as silver, black, and white, borrowing the secondary colors of the three traditional Irving ISD high schools, silver from Nimitz High School, black from Irving High School, and white from MacArthur High School. A non-spectator gymnasium and 500-seat performing arts center were added in 2009, increasing the opportunities for physical education and fine arts programs offered at the school. The school was renamed on May 18, 2009, to honor retiring superintendent Jack Erwin Singley. The student body selected the phoenix as the official school mascot at the end of the 2014-2015 school year. Work on the formation of the mascot began early in the 2014-2015 school year with former principal Dr.Tamy Smalskas and the student-led Senior Class Officer organization. A committee consisting of.",149,"the academy of Irving ISD was renamed on may 18, 2009. the school was selected as the official school mascot at the end of the 2014-2015 school year.",28
4,Web Scrape,"At the Irving ISD high school graduation ceremony of the 2014–15 school year, student committee member, and member of the Senior Class Officers, Elisha Lucero gave a speech introducing the new mascot to the district and community. Designed by Powell/PSP Architects, the school is embedded into a hillside, which enabled at-grade access to each of the building's three stories. The building is organized around ""Main Street"", a mall-like circulation spine with abundant natural light and a 3-story atrium, with direct access to a food court and other fully functioning ""real world"" facilities in which students from a related Academy could work and study, including medical and dental clinics, a municipal courtroom, and a retail store for students. Planned but never built was a daycare center. The school was designed to accommodate the District's new policy, which was first implemented here, of providing every student with a laptop computer.",148,"the school is embedded into a hillside, which enabled at-grade access to each of the building is three stories. the building is organized around a mall-like circulation spine with abundant natural light and a 3-story atrium. the district is new policy was first implemented here, of providing every student with a laptop computer.",53
5,Web Scrape,"Its advanced design was recognized with several awards: the 2004 CEFPI James D. MacConnell Award for Excellence in Design (finalist), Walter Taylor Architecture Award Outstanding Educational Environment - 2003, American Institute of Architects / American Association of School Administrators / CEFPI; Project of Distinction Award - 2002, CEFPI; Design Award / School Architecture Exhibit - 2002, Texas Association of School Boards / Texas Association of School Administrators; Impact on Learning Award - 2002 School Planning & Management / CEFPI. ""Money Machine"" (stylized in lowercase) is the debut single by American hyperpop duo 100 gecs. It was released on May 29, 2019, as the only single from their debut studio album, 1000 gecs (2019). 100 gecs is a duo made up of Laura Les and Dylan Brady. ""Money Machine"" was produced some time after the release of their debut EP 100 Gecs, because they were interested in returning with the project.",150,"Money Machine is the debut single by 100 gecs. it was released on may 29, 2019 as the only single from their debut studio album.",25
6,Web Scrape,"A remix by A. G. Cook was released on October 23, 2019, as the lead single off of their first remix album 1000 gecs and the Tree of Clues. In ""a whiny chipmunk voice"", the song opens with the lyrics ""Hey you lil piss baby / You think you're so fucking cool, huh? / You think you're so fucking tough / You talk a lotta big game for someone with such a small truck"", "" as pure chest-puffing braggadocio one of the most appealingly strange taunts in recent memory"", and then goes into a chorus ""of scraping power chords that are kind of like a cross between Skrillex and Sophie. It's bizarre, a bit silly, but for the exact same reason, endlessly fascinating."" DIY described it as a ""glitchy electronic-pop banger"", and Pitchfork described it as ""pulsing cavity-inducing"".",138,"the song was released on October 23, 2019 as the lead single off of their first remix album 1000 gecs and the Tree of Clues. the song opens with the lyrics Hey you lil piss baby / You think you are so fucking cool, huh? DIY described it as a glitchy electronic-pop banger.",53
7,Web Scrape,"On June 13, 2019, an official music video for the song was released. The music video has Brady and Les as ""badass rapper-types mugging for the camera"" as they step into a parking lot with some ""rather large trucks"", and distorted by layers of visual effects. According to Paper, ""he overall effect exists somewhere between a cybernetic hallucination and a deep fried meme. It's hard to pinpoint what is exactly so damn appealing about the video, but perhaps it's for that exact same reason that it's so damn entertaining."" Pitchfork named it the 61st best song of 2019. Sasha Geffen, for the same website, wrote that the song ""is a purification ritual for the rotted-out brain, a seething, monstrous prayer to burn the slime away"". It was also named one of the best songs of the year by Dazed Fact, Rolling Stone, and Vice. According to The New York.",149,"the song was released on a video released on april 13, 2019. it is the 61st best song of 2019 by Pitchfork.",22
8,Web Scrape,"Ariarathes IV, surnamed Eusebes, ""the Pious"", (Ancient Greek: Ἀριαράθης Εὐσεβής, Ariaráthēs Eusebḗs), was the king of Cappadocia in 220–163 BC. Ariarathes IV was the son of the king of Cappadocia Ariarathes III and his Macedonian Greek wife Stratonice. He was a child at his accession, and reigned for about 57 years. He married his cousin Antiochis, the daughter of Antiochus III the Great, king of Syria, and Laodice III, and, in consequence of this alliance, assisted Antiochus in his war against the Romans. After the defeat of Antiochus by the Romans in 190 BC, Ariarathes sued for peace in 188, which he obtained on favourable terms, as his daughter, Stratonice, was about that time betrothed to Eumenes II, king of Pergamum, whom she later married, and became an ally of the Romans. In 183–179 , he assisted Eumenes in his war against Pharnaces, king of Pontus. Polybius mentions that.",149,"Ariarathes IV was the king of Cappadocia in 220–163 BC. he married his cousin Antiochis, the daughter of antiochus III the Great. he assisted Eumenes in his war against the Romans.",31
9,Web Scrape,"Antiochis, the wife of Ariarathes, is said to have at first borne him no children, and accordingly substituted two surrogates, who were called Ariarathes and Orophernes. Subsequently, however, it was said that she actually bore her husband two daughters and a son, who was named Mithridates, and afterwards became Ariarathes V, and then she informed Ariarathes of the deceit she had practiced upon him. The two surrogates were in consequence sent away from Cappadocia, one to Rome, the other to Ionia. This article incorporates text from a publication now in the public domain: Smith, William, ed. (1870). ""Ariarathes"". Dictionary of Greek and Roman Biography and Mythology. Vol. 1. p. 284. The Lepsius Standard Alphabet is a Latin-script alphabet developed by Karl Richard Lepsius. Lepsius initially used it to transcribe Egyptian hieroglyphs in his Denkmäler aus Ägypten und Äthiopien, and extended it to write African languages, published in 1853, 1854.",149,"antiochis, wife of Ariarathes, said to have borne him no children. she substituted two surrogates, called Ariarathes and Orophernes. the two surrogates were sent away from Cappadocia, one to Rome, the other to Ionia.",34
10,Web Scrape,"Vowel length is indicated by a macron (ā) or a breve (ă) for long and short vowels, respectively. Open vowels are marked by a line under the letter (e̱), while a dot below the letter makes it a close vowel (ẹ). Rounded front vowels are written with an umlaut (ö and ü ), generally above, but below when the space above the letter is needed for vowel length marks (thus ṳ̄ or ṳ̆). Unrounded back vowels are indicated by a 'hook' (ogonek) on ę or į. Central vowels may be written as one of these series, or as reduced vowels. As in the International Phonetic Alphabet, nasal vowels get a tilde (ã). A small circle below a letter is used to mark both the schwa (e̥, also ḁ, i̥, u̥ etc. for other reduced vowels) and syllabic consonants (r̥ or l̥, for instance).",143,a dot below the letter makes it a close vowel a 'hook' is indicated on or . nasal vowels get a tilde.,22
